environment,label,source,inputUrl,inputPath,initialStatus,initialLocation,finalUrl,finalPath,finalStatus,redirectCount,redirectType,isInSitemapInitial,isInSitemapFinal,hasNoindex,canonicalUrl,classification,attempts,transientRecovered
live-wordpress,Old Live WordPress,wordpress-current-sitemap,https://delpasqua.com/checkout/,/checkout/,302,https://delpasqua.com/cart/,https://delpasqua.com/cart/,/cart/,200,1,temporary,true,true,true,https://delpasqua.com/cart/,WP_CURRENT_REDIRECT,2,false
live-wordpress,Old Live WordPress,wordpress-current-sitemap,https://delpasqua.com/my-account/,/my-account/,200,,https://delpasqua.com/my-account/,/my-account/,200,0,none,true,true,true,https://delpasqua.com/my-account/,WP_CURRENT_TECHNICAL_ROUTE,1,false
live-wordpress,Old Live WordPress,wordpress-current-sitemap,https://delpasqua.com/zblog-list-2/,/zblog-list-2/,200,,https://delpasqua.com/zblog-list-2/,/zblog-list-2/,200,0,none,true,true,false,https://delpasqua.com/zblog-list-2/,WP_CURRENT_PAGE,1,false
live-wordpress,Old Live WordPress,wordpress-current-sitemap,https://delpasqua.com/,/,200,,https://delpasqua.com/,/,200,0,none,true,true,false,https://delpasqua.com/,WP_CURRENT_PAGE,1,false
live-wordpress,Old Live WordPress,wordpress-current-sitemap,https://delpasqua.com/storia/,/storia/,200,,https://delpasqua.com/storia/,/storia/,200,0,none,true,true,false,https://delpasqua.com/storia/,WP_CURRENT_PAGE,1,false
live-wordpress,Old Live WordPress,wordpress-current-sitemap,https://delpasqua.com/produzione/,/produzione/,200,,https://delpasqua.com/produzione/,/produzione/,200,0,none,true,true,false,https://delpasqua.com/produzione/,WP_CURRENT_PAGE,1,false
live-wordpress,Old Live WordPress,wordpress-current-sitemap,https://delpasqua.com/il-nostro-olio/,/il-nostro-olio/,200,,https://delpasqua.com/il-nostro-olio/,/il-nostro-olio/,200,0,none,true,true,false,https://delpasqua.com/il-nostro-olio/,WP_CURRENT_PAGE,1,false
live-wordpress,Old Live WordPress,wordpress-current-sitemap,https://delpasqua.com/contatti/,/contatti/,200,,https://delpasqua.com/contatti/,/contatti/,200,0,none,true,true,false,https://delpasqua.com/contatti/,WP_CURRENT_PAGE,1,false
live-wordpress,Old Live WordPress,wordpress-current-sitemap,https://delpasqua.com/acquista/,/acquista/,200,,https://delpasqua.com/acquista/,/acquista/,200,0,none,true,true,false,https://delpasqua.com/acquista/,WP_CURRENT_PAGE,1,false
live-wordpress,Old Live WordPress,wordpress-current-sitemap,https://delpasqua.com/cart/,/cart/,200,,https://delpasqua.com/cart/,/cart/,200,0,none,true,true,true,https://delpasqua.com/cart/,WP_CURRENT_TECHNICAL_ROUTE,1,false
live-wordpress,Old Live WordPress,wordpress-current-sitemap,https://delpasqua.com/privacy-policy/,/privacy-policy/,200,,https://delpasqua.com/privacy-policy/,/privacy-policy/,200,0,none,true,true,false,https://delpasqua.com/privacy-policy/,WP_CURRENT_PAGE,1,false
live-wordpress,Old Live WordPress,wordpress-current-sitemap,https://delpasqua.com/condizioni-generali-di-vendita/,/condizioni-generali-di-vendita/,200,,https://delpasqua.com/condizioni-generali-di-vendita/,/condizioni-generali-di-vendita/,200,0,none,true,true,false,https://delpasqua.com/condizioni-generali-di-vendita/,WP_CURRENT_PAGE,1,false
live-wordpress,Old Live WordPress,wordpress-current-sitemap,https://delpasqua.com/cookie-policy/,/cookie-policy/,200,,https://delpasqua.com/cookie-policy/,/cookie-policy/,200,0,none,true,true,false,https://delpasqua.com/cookie-policy/,WP_CURRENT_PAGE,1,false
live-wordpress,Old Live WordPress,wordpress-current-sitemap,https://delpasqua.com/portfolio-item/white-wine-4-2/,/portfolio-item/white-wine-4-2/,200,,https://delpasqua.com/portfolio-item/white-wine-4-2/,/portfolio-item/white-wine-4-2/,200,0,none,true,true,false,https://delpasqua.com/portfolio-item/white-wine-4-2/,WP_CURRENT_PORTFOLIO,1,false
live-wordpress,Old Live WordPress,wordpress-current-sitemap,https://delpasqua.com/portfolio-item/red-wine-3/,/portfolio-item/red-wine-3/,200,,https://delpasqua.com/portfolio-item/red-wine-3/,/portfolio-item/red-wine-3/,200,0,none,true,true,false,https://delpasqua.com/portfolio-item/red-wine-3/,WP_CURRENT_PORTFOLIO,1,false
live-wordpress,Old Live WordPress,wordpress-current-sitemap,https://delpasqua.com/portfolio-item/the-winery-3/,/portfolio-item/the-winery-3/,200,,https://delpasqua.com/portfolio-item/the-winery-3/,/portfolio-item/the-winery-3/,200,0,none,true,true,false,https://delpasqua.com/portfolio-item/the-winery-3/,WP_CURRENT_PORTFOLIO,1,false
